year,mode,segment_count,time_hours,cost_yuan_for_two,selected_role,visual_role_label,plan_id
1,gateway_access,2,2.3689999999999998,92.68,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
1,rental_car,5,25.325,979.87,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
1,scenic_shuttle,2,0.6,40.0,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
1,taxi_transfer,9,5.898,162.7,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
2,charter_car,4,29.161,1265.66,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
2,gateway_access,2,10.870999999999999,489.69,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
2,rail,1,3.55,137.0,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
2,rental_car,8,28.125,657.8199999999999,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
2,scenic_shuttle,2,1.6,90.0,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
2,taxi_transfer,5,3.802,112.29,ROOTED_URUMQI_MAIN,固定乌鲁木齐起讫,Q2V3_072_ROOTED_URUMQI
1,charter_car,1,6.468,207.11,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
1,gateway_access,2,1.1,60.0,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
1,rail,2,5.983,236.0,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
1,rental_car,11,48.164,1343.63,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
1,scenic_shuttle,4,2.2,130.0,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
1,taxi_transfer,11,8.217,214.34,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
2,charter_car,1,6.741,319.39,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
2,gateway_access,2,1.6360000000000001,60.35,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
2,rental_car,2,7.314,220.68,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
2,taxi_transfer,4,2.25,65.3,OPEN_GATEWAY_MIN_INTRA_COST,开放多口岸最低费用,Q2V3_010_OPEN_GATEWAY
1,charter_car,1,7.05,252.76,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
1,gateway_access,2,1.302,60.370000000000005,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
1,rental_car,6,21.113999999999997,594.86,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
1,scenic_shuttle,2,0.6,40.0,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
1,taxi_transfer,7,3.106,64.72,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
2,charter_car,4,26.832,1125.71,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
2,gateway_access,2,1.649,77.63,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
2,rail,1,3.55,137.0,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
2,rental_car,7,25.003999999999998,536.6,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
2,scenic_shuttle,2,1.6,90.0,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
2,taxi_transfer,6,4.118,120.26,ROBUST_TWO_YEAR_MAIN,开放多口岸鲁棒主推,Q2V3_073_OPEN_GATEWAY
