question,persona_id,persona_name,scenario_id,scenario_name,base_days,base_mean_comfort,reservation_spots,remote_share,success_probability,red_risk_probability,mean_simulated_days,p90_simulated_days,mean_comfort,p10_comfort,expected_reservation_failures,expected_road_delay_days,recommended_action
Q1,explorer_dense,探索紧凑型30天改造,normal_summer,常规暑期,25,92.83,18,0.094,0.994,0.005,25.18,25.5,89.74,86.15,0.36,0.02,可作为主推方案
Q1,explorer_dense,探索紧凑型30天改造,heatwave,热浪高温,25,92.83,18,0.094,0.9755,0.016,25.28,25.5,82.91,78.96,0.53,0.03,可作为主推方案
Q1,explorer_dense,探索紧凑型30天改造,rain_flood_delay,雨洪道路延误,25,92.83,18,0.094,0.9503,0.0398,26.1,28.0,86.32,81.12,0.7,0.19,可作为主推方案
Q1,explorer_dense,探索紧凑型30天改造,reservation_tight,预约收紧,25,92.83,18,0.094,0.6205,0.378,25.71,26.0,83.98,78.37,2.17,0.04,应启用删点、改口岸或错峰重排
Q1,explorer_dense,探索紧凑型30天改造,peak_summer,暑期客流高峰,25,92.83,18,0.094,0.8233,0.1708,25.76,26.5,83.39,78.2,1.43,0.05,保留路线但预置1-2天机动缓冲
Q1,explorer_dense,探索紧凑型30天改造,compound_extreme,复合极端冲击,25,92.83,18,0.094,0.1988,0.7145,27.96,30.5,70.79,62.9,3.26,0.29,应启用删点、改口岸或错峰重排
Q1,standard_active,普通体力型30天主线,normal_summer,常规暑期,28,91.78,18,0.094,0.9905,0.0095,28.17,28.5,88.61,85.06,0.35,0.02,可作为主推方案
Q1,standard_active,普通体力型30天主线,heatwave,热浪高温,28,91.78,18,0.094,0.9698,0.024,28.26,28.5,81.83,77.92,0.55,0.03,可作为主推方案
Q1,standard_active,普通体力型30天主线,rain_flood_delay,雨洪道路延误,28,91.78,18,0.094,0.8295,0.1703,28.93,30.5,85.36,80.12,0.74,0.2,保留路线但预置1-2天机动缓冲
Q1,standard_active,普通体力型30天主线,reservation_tight,预约收紧,28,91.78,18,0.094,0.6308,0.3693,28.71,29.0,82.94,77.28,2.16,0.05,应启用删点、改口岸或错峰重排
Q1,standard_active,普通体力型30天主线,peak_summer,暑期客流高峰,28,91.78,18,0.094,0.7873,0.2125,28.68,29.5,82.35,77.28,1.47,0.06,保留路线但预置1-2天机动缓冲
Q1,standard_active,普通体力型30天主线,compound_extreme,复合极端冲击,28,91.78,18,0.094,0.1482,0.809,30.75,33.5,70.12,62.27,3.22,0.29,应启用删点、改口岸或错峰重排
Q1,family_comfort,亲子舒适型30天改造,normal_summer,常规暑期,30,89.19,16,0.1,0.7192,0.2807,30.16,30.5,86.14,82.65,0.31,0.02,保留路线但预置1-2天机动缓冲
Q1,family_comfort,亲子舒适型30天改造,heatwave,热浪高温,30,89.19,16,0.1,0.604,0.3937,30.23,30.5,79.35,75.54,0.47,0.03,应启用删点、改口岸或错峰重排
Q1,family_comfort,亲子舒适型30天改造,rain_flood_delay,雨洪道路延误,30,89.19,16,0.1,0.3635,0.6365,30.88,32.5,83.03,77.6,0.64,0.21,应启用删点、改口岸或错峰重排
Q1,family_comfort,亲子舒适型30天改造,reservation_tight,预约收紧,30,89.19,16,0.1,0.1253,0.8748,30.65,31.0,81.0,75.6,1.91,0.04,应启用删点、改口岸或错峰重排
Q1,family_comfort,亲子舒适型30天改造,peak_summer,暑期客流高峰,30,89.19,16,0.1,0.2452,0.7548,30.58,31.0,80.26,75.34,1.27,0.06,应启用删点、改口岸或错峰重排
Q1,family_comfort,亲子舒适型30天改造,compound_extreme,复合极端冲击,30,89.19,16,0.1,0.0175,0.9822,32.54,35.5,68.35,60.7,2.9,0.3,应启用删点、改口岸或错峰重排
Q1,senior_slow,长者慢游型30天改造,normal_summer,常规暑期,23,85.51,10,0.0,0.9918,0.0013,23.15,23.5,82.84,79.48,0.2,0.02,可作为主推方案
Q1,senior_slow,长者慢游型30天改造,heatwave,热浪高温,23,85.51,10,0.0,0.6923,0.0283,23.49,24.5,76.16,72.53,0.28,0.03,保留路线但预置1-2天机动缓冲
Q1,senior_slow,长者慢游型30天改造,rain_flood_delay,雨洪道路延误,23,85.51,10,0.0,0.8427,0.044,24.86,27.0,78.8,73.48,0.41,0.2,保留路线但预置1-2天机动缓冲
Q1,senior_slow,长者慢游型30天改造,reservation_tight,预约收紧,23,85.51,10,0.0,0.8283,0.1185,23.59,24.5,78.88,74.03,1.21,0.04,保留路线但预置1-2天机动缓冲
Q1,senior_slow,长者慢游型30天改造,peak_summer,暑期客流高峰,23,85.51,10,0.0,0.7408,0.0655,24.18,26.0,77.12,72.55,0.81,0.06,保留路线但预置1-2天机动缓冲
Q1,senior_slow,长者慢游型30天改造,compound_extreme,复合极端冲击,23,85.51,10,0.0,0.03,0.752,26.66,29.5,66.21,58.82,1.8,0.31,建议拆成两次慢游或减少高海拔/长转场点
