spot_id,spot_name,day,priority_score,topic_preference,active_increment_hours,travel_hours,transport_cost_yuan_per_two,risk_score,humanized_value_to_burden_ratio,suggestion
P029,天山神秘大峡谷,20,2.0,False,6.88,3.38,106.05,0.104,0.179,若坚持30天且面向舒适游客，可作为削减候选
P027,帕米尔高原白沙湖,25,2.0,False,6.86,2.36,66.09,0.08,0.202,若坚持30天且面向舒适游客，可作为削减候选
P026,香妃园,27,3.0,False,7.6,5.1,189.5,0.16,0.21,若坚持30天且面向舒适游客，可作为削减候选
P040,奥依塔克冰川,24,2.0,False,6.66,2.15,57.44,0.075,0.212,若坚持30天且面向舒适游客，可作为削减候选
P036,北庭故城遗址,5,3.0,False,6.2,4.7,190.84,0.156,0.239,若坚持30天且面向舒适游客，可作为削减候选
P035,江布拉克草原,6,2.0,False,4.83,1.33,38.39,0.063,0.298,若坚持30天且面向舒适游客，可作为削减候选
P033,巴音布鲁克草原,19,2.0,False,6.5,0.0,0.0,0.0,0.308,若坚持30天且面向舒适游客，可作为削减候选
P028,石头城遗址,26,3.0,False,6.1,1.6,55.56,0.074,0.357,若坚持30天且面向舒适游客，可作为削减候选
P039,千里葡萄长廊,29,1.0,False,1.9,0.4,6.93,0.044,0.377,若坚持30天且面向舒适游客，可作为削减候选
P032,博斯腾湖,17,2.0,False,4.0,0.0,0.0,0.0,0.5,若坚持30天且面向舒适游客，可作为削减候选
