source_category,source_name,url,core_use
新疆文旅官方平台,新疆维吾尔自治区文化和旅游厅官网,http://wlt.xinjiang.gov.cn,官方景区名录、法定门票指导价、节假日文旅政策、官方主推旅游线路、景区开放管控公告
,新疆旅游网（题干指定查询网站）,http://www.xinjiangtour.com,查询景点间路程距离、各景点推荐逗留时长、全疆官方推介旅游路线
交通里程票务数据,中国铁路12306官网,https://www.12306.cn,进出疆+疆内铁路班次、票价、行车时长
,高德地图网页版,https://amap.com,测算景点间公路里程、自驾耗时、高速路线规划
,携程旅行,https://www.ctrip.com,华东-新疆机票淡旺季价格、疆内大巴/包车/租车报价、酒店住宿均价
,飞猪旅行,https://www.fliggy.com,华东-新疆机票淡旺季价格、疆内大巴/包车/租车报价、酒店住宿均价
,新疆机场集团官网,http://www.xjairport.com,新疆各地机场航线、民航官方基准票价
人文科考地理测绘,天地图（国家地理信息平台）,https://www.tianditu.gov.cn,新疆行政区划、村镇地理点位、地形路网、少数民族聚居地地理分布
,中国非物质文化遗产网,http://www.ihchina.cn,新疆非遗村落、民俗文化点位、文博场馆信息
旅游客流接待容量,中华人民共和国文化和旅游部官网,https://www.mct.gov.cn,全国节假日旅游统计数据、新疆历年五一客流大数据
,新疆统计局官网,http://tjj.xinjiang.gov.cn,全疆各地州年度旅游接待人次、景区承载量统计
,马蜂窝旅游网,https://www.mafengwo.cn,真实游客游记、自由行实际花费、民间成熟旅游线路参考
