demand_multiplier,source_column_id,target_column_id,reallocated_visitors,region_similarity,target_attraction_per_day,policy
1.05,COL007,COL003,1020,1.0,11.5,推荐作为同区或高吸引力替代线路分流
1.05,COL002,COL003,874,0.0,11.5,推荐作为同区或高吸引力替代线路分流
1.05,COL001,COL003,680,0.333,11.5,推荐作为同区或高吸引力替代线路分流
1.05,COL005,COL003,612,0.0,11.5,推荐作为同区或高吸引力替代线路分流
1.05,COL006,COL003,612,0.0,11.5,推荐作为同区或高吸引力替代线路分流
1.05,COL008,COL003,510,0.25,11.5,推荐作为同区或高吸引力替代线路分流
1.05,COL009,COL003,306,0.0,11.5,推荐作为同区或高吸引力替代线路分流
1.05,COL004,COL003,219,0.0,11.5,推荐作为同区或高吸引力替代线路分流
1.1,COL007,COL003,2040,1.0,11.5,推荐作为同区或高吸引力替代线路分流
1.1,COL002,COL003,1748,0.0,11.5,推荐作为同区或高吸引力替代线路分流
1.1,COL001,COL003,839,0.333,11.5,推荐作为同区或高吸引力替代线路分流
1.2,COL007,COL003,3658,1.0,11.5,推荐作为同区或高吸引力替代线路分流
1.35,COL007,COL003,2202,1.0,11.5,推荐作为同区或高吸引力替代线路分流
