route_id,route_theme,route_theme_code,route_name_note,seed_column_id,seed_route_theme,product_type,target_segment,route_capacity_persons_12day,old_9route_allocation_same_theme,strict_capacity_ratio_visitors,preference_elastic_visitors,balanced_optimized_visitors,balanced_utilization,attraction_score,comfort_score,low_pressure_score,allocation_rule_note,capacity_ratio_unserved_total,preference_elastic_unserved_total,balanced_optimized_unserved_total
Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,Bazhou_Desert_family_comfort,由巴州沙漠湖泊线种子生成的亲子舒适12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL005,Bazhou_Desert,family_comfort,亲子舒适,6850,12240,4548,4659,6708,0.9793,45.572,98.0,30.45,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Border_Pamir_premium_reserve,由帕米尔边境线种子生成的精品预约12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL009,Border_Pamir,premium_reserve,精品预约,3210,6120,2131,3195,3210,1.0,52.311,65.269,42.631,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,East_Heritage_low_pressure,由东疆文化遗产线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL003,East_Heritage,decongested_route,错峰分流,10240,9702,6799,9384,7477,0.7301,59.198,98.0,29.314,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R039,喀什—和田—东疆错峰分流12日线,Hotan_Plus_low_pressure,由和田南疆扩展线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL006,Hotan_Plus,decongested_route,错峰分流,6390,12240,4243,4450,5362,0.8391,51.788,75.507,32.586,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,Ili_Lake_Grass_low_pressure,由伊犁湖泊草原线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL002,Ili_Lake_Grass,decongested_route,错峰分流,11710,17485,7775,6563,6933,0.5921,47.6,89.957,33.626,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R005,巴州—东疆—乌鲁木齐文化深游12日线,North_Kanas_culture_deep,由北疆喀纳斯线种子生成的文化深游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL001,North_Kanas,culture_deep,文化深游,5190,13600,3446,3865,5190,1.0,48.094,81.65,34.933,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R046,东疆—赛湖—喀什错峰分流12日线,Short_Urumqi_East_low_pressure,由乌鲁木齐东疆短线种子扩展为跨区错峰分流12天产品，不再按短线产品解释。,COL007,Short_Urumqi_East,decongested_route,错峰分流,13660,20400,9070,10580,8287,0.6067,58.868,73.314,44.372,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,SilkRoad_Deep_low_pressure,由丝路深游线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL008,SilkRoad_Deep,decongested_route,错峰分流,6830,10200,4535,6830,6830,1.0,61.371,79.074,44.326,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R024,帕米尔—喀什—巴州长者慢游12日线,South_Culture_senior_slow,由南疆文化线种子生成的长者慢游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL004,South_Culture,senior_slow,长者慢游,2000,4371,1328,1546,2000,1.0,36.934,98.0,25.632,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,Short_Urumqi_East_balanced_mass,由乌鲁木齐东疆短线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL007,Short_Urumqi_East,capacity_balanced,大众均衡,16320,20400,10836,9889,7169,0.4393,56.015,97.575,23.417,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,Short_Urumqi_East_nature_flagship,由乌鲁木齐东疆短线种子扩展为跨区自然风景12天产品，不再按短线产品解释。,COL007,Short_Urumqi_East,nature_flagship,自然风景,11830,20400,7855,7677,7029,0.5942,53.207,91.148,29.877,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,East_Heritage_balanced_mass,由东疆文化遗产线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL003,East_Heritage,capacity_balanced,大众均衡,12240,9702,8127,8161,6501,0.5311,55.478,97.43,23.156,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,Bazhou_Desert_balanced_mass,由巴州沙漠湖泊线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL005,Bazhou_Desert,capacity_balanced,大众均衡,11550,12240,7669,5395,6150,0.5324,45.772,79.456,33.639,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,SilkRoad_Deep_family_comfort,由丝路深游线种子生成的亲子舒适12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL008,SilkRoad_Deep,family_comfort,亲子舒适,5710,10200,3791,5710,5710,1.0,55.434,98.0,35.832,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,Ili_Lake_Grass_balanced_mass,由伊犁湖泊草原线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL002,Ili_Lake_Grass,capacity_balanced,大众均衡,13990,17485,9289,4442,4688,0.3351,43.147,69.342,28.1,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Short_Urumqi_East_senior_slow,由乌鲁木齐东疆短线种子生成的长者慢游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL007,Short_Urumqi_East,senior_slow,长者慢游,9180,20400,6095,7848,7169,0.7809,57.817,98.0,25.388,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R041,东疆—赛湖—喀什自然风景12日线,Hotan_Plus_nature_flagship,由和田南疆扩展线种子生成的自然风景12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL006,Hotan_Plus,nature_flagship,自然风景,5400,12240,3585,3378,5148,0.9533,48.992,56.382,41.234,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
Q4V2_R006,东疆—北疆—赛湖自然风景12日线,North_Kanas_nature_flagship,由北疆喀纳斯线种子生成的自然风景12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,COL001,North_Kanas,nature_flagship,自然风景,7890,13600,5239,2784,4798,0.6081,35.865,69.797,35.171,题设核心口径：游客名额按线路投放容量成比例；V2同时给出偏好弹性与平衡优化对照。,0,0,0
